Genotype,Sex,Rep,Age,#Blind,Brain_area,Total_particle_area,Particle_count,Average_particle_size,Percent_area
KO,F,1,0,43,260298.985,1422.349,336,4.233,0.546428946
KO,F,2,0,76,241261.391,870.733,207,4.206,0.360908555
KO,F,3,0,100,284109.654,1185.291,271,4.374,0.417194905
KO,F,4,0,44,256672.451,1299.261,268,4.848,0.506194177
KO,F,5,0,75,276820.116,271.249,66,4.11,0.09798746
KO,F,6,0,47,320215.437,1116.909,178,6.275,0.348799237
KO,F,7,0,5,296201.9,1483.893,267,5.558,0.500973491
KO,F,8,0,101,273738.36,777.277,95,8.182,0.283948877
KO,F,9,0,102,337988.516,1201.247,234,5.134,0.355410596
KO,F,10,0,23,226842.244,631.395,151,4.181,0.278341013
KO,F,11,0,122,267538.816,79.799,26,3.068,0.029827074
W422X,F,1,0,45,290314.196,2304.479,474,4.862,0.793787914
W422X,F,2,0,141,293639.849,2185.95,466,4.691,0.74443234
W422X,F,3,0,74,258557.519,1397.275,299,4.673,0.540411668
W422X,F,4,0,7,273904.756,1477.055,298,4.957,0.539258617
W422X,F,5,0,103,259387.223,1114.629,174,6.406,0.429716232
W422X,F,6,0,123,278648.199,1996.759,282,7.081,0.7165878
W422X,F,7,0,46,254789.662,3564.99,601,5.932,1.399189422
W422X,F,8,0,140,278557.023,2090.215,379,5.515,0.750372393
W422X,F,9,0,121,285190.093,1278.746,295,4.355,0.448383738
W422X,F,10,0,24,266672.641,1962.568,395,4.969,0.735946512
W422X,F,11,0,142,250288.247,984.703,168,5.861,0.393427583
WG2,F,1,0,158,272199.761,43.309,14,3.093,0.015910741
WG2,F,2,0,73,255833.63,70.662,21,3.365,0.027620294
WG2,F,3,0,6,267759.479,36.47,8,4.559,0.013620433
WG2,F,4,0,77,247069.316,175.514,55,3.191,0.071038364
WG2,F,5,0,124,262785.816,22.794,8,2.849,0.008673984
WG2,F,6,0,159,245977.481,129.926,41,3.169,0.052820282
WG2,F,7,0,78,266056.763,84.338,27,3.124,0.031699251
WG2,F,8,0,22,258986.048,95.735,30,3.191,0.036965312
WG2,F,9,0,48,234612.75,100.294,34,2.95,0.042748742
WG2,F,10,0,180,284146.591,34.191,14,2.442,0.012032874
WG2,F,11,0,72,259683.972,116.25,40,2.906,0.044765951
Y160C,F,1,0,25,281884.955,572.131,156,3.668,0.202966136
