,X,Channel,Activity,Genotype,Sex,Age,Rep
1,225,adj_Monitor1_ch14,2721.4,Y160C,F,W0,R3
2,628,adj_Monitor34_ch17,2339.2,KO,M,W0,R1
3,266,adj_Monitor20_ch22,2258.2,Y160C,M,W0,R1
4,774,adj_Monitor3_ch9,2167,W422X,M,W0,R3
5,595,adj_Monitor33_ch15,2158.8,Y160C,M,W0,R3
6,226,adj_Monitor1_ch15,2122.8,Y160C,F,W0,R3
7,741,adj_Monitor39_ch8,2056,W422X,M,W0,R2
8,233,adj_Monitor1_ch21,1999,Y160C,F,W0,R3
9,731,adj_Monitor39_ch28,1967.8,W422X,M,W0,R2
10,723,adj_Monitor39_ch20,1965.6,W422X,M,W0,R2
11,194,adj_Monitor19_ch12,1944.4,KO,M,W0,R2
12,57,adj_Monitor11_ch4,1942.2,W422X,F,W0,R4
13,123,adj_Monitor15_ch6,1916.2,Y160C,F,W0,R2
14,496,adj_Monitor2_ch8,1896.6,WG2,M,W0,R2
15,650,adj_Monitor34_ch9,1895,KO,M,W0,R1
16,44,adj_Monitor11_ch21,1861.2,W422X,F,W0,R4
17,931,adj_Monitor50_ch7,1851,W422X,F,W0,R3
18,7,adj_Monitor10_ch16,1841.6,Y160C,F,W0,R4
19,4,adj_Monitor10_ch13,1837.2,Y160C,F,W0,R4
20,722,adj_Monitor39_ch2,1836.8,W422X,M,W0,R2
21,25,adj_Monitor10_ch32,1821.2,Y160C,F,W0,R4
22,28,adj_Monitor10_ch7,1814.6,Y160C,F,W0,R4
23,219,adj_Monitor19_ch9,1806.2,KO,M,W0,R2
24,495,adj_Monitor2_ch7,1803,WG2,M,W0,R2
25,351,adj_Monitor24_ch15,1800.4,WG2,F,W0,R1
26,41,adj_Monitor11_ch19,1795.8,W422X,F,W0,R4
27,29,adj_Monitor10_ch8,1791.2,Y160C,F,W0,R4
28,270,adj_Monitor20_ch27,1749.6,Y160C,M,W0,R1
29,42,adj_Monitor11_ch2,1738.4,W422X,F,W0,R4
30,903,adj_Monitor50_ch10,1728.4,W422X,F,W0,R3
31,234,adj_Monitor1_ch22,1722.4,Y160C,F,W0,R3
32,184,adj_Monitor18_ch32,1716.2,KO,F,W0,R2
33,53,adj_Monitor11_ch3,1713.4,W422X,F,W0,R4
34,730,adj_Monitor39_ch27,1710.4,W422X,M,W0,R2
35,357,adj_Monitor24_ch20,1702,WG2,F,W0,R1
36,853,adj_Monitor45_ch22,1697.4,KO,F,W0,R3
37,909,adj_Monitor50_ch16,1693,W422X,F,W0,R3
38,130,adj_Monitor16_ch12,1691.6,WG2,F,W0,R4
39,812,adj_Monitor42_ch14,1690.6,W422X,F,W0,R2
40,61,adj_Monitor11_ch8,1688.6,W422X,F,W0,R4
41,22,adj_Monitor10_ch3,1684.8,Y160C,F,W0,R4
42,462,adj_Monitor28_ch5,1676.6,W422X,M,W0,R1
43,451,adj_Monitor28_ch22,1675.4,W422X,M,W0,R1
44,739,adj_Monitor39_ch6,1670,W422X,M,W0,R2
45,58,adj_Monitor11_ch5,1667.6,W422X,F,W0,R4
46,353,adj_Monitor24_ch17,1667,WG2,F,W0,R1
47,682,adj_Monitor38_ch10,1663.6,KO,M,W0,R4
48,798,adj_Monitor41_ch30,1658.6,Y160C,M,W0,R4
49,685,adj_Monitor38_ch13,1655.2,KO,M,W0,R4
50,552,adj_Monitor31_ch32,1637.6,W422X,M,W0,R4
51,617,adj_Monitor33_ch6,1635.8,Y160C,M,W0,R3
52,766,adj_Monitor3_ch30,1630.2,W422X,M,W0,R3
53,870,adj_Monitor49_ch1,1628.2,Y160C,M,W0,R2
54,533,adj_Monitor31_ch14,1627.8,W422X,M,W0,R4
55,175,adj_Monitor18_ch24,1627.8,KO,F,W0,R2
56,710,adj_Monitor38_ch9,1622,KO,M,W0,R4
57,742,adj_Monitor39_ch9,1620.8,W422X,M,W0,R2
58,136,adj_Monitor16_ch18,1617.8,WG2,F,W0,R4
59,927,adj_Monitor50_ch32,1609.8,W422X,F,W0,R3
60,913,adj_Monitor50_ch2,1607.2,W422X,F,W0,R3
61,249,adj_Monitor1_ch7,1600.2,Y160C,F,W0,R3
62,572,adj_Monitor32_ch21,1594,WG2,M,W0,R1
63,63,adj_Monitor14_ch1,1593.4,W422X,F,W0,R1
64,687,adj_Monitor38_ch15,1592.6,KO,M,W0,R4
65,77,adj_Monitor14_ch22,1590.8,W422X,F,W0,R1
66,120,adj_Monitor15_ch32,1588.2,Y160C,F,W0,R2
67,52,adj_Monitor11_ch29,1586,W422X,F,W0,R4
68,86,adj_Monitor14_ch30,1580.2,W422X,F,W0,R1
69,635,adj_Monitor34_ch24,1579.6,KO,M,W0,R1
70,946,adj_Monitor5_ch21,1578.6,WG2,F,W0,R2
71,524,adj_Monitor30_ch6,1571.6,Y160C,F,W0,R1
72,253,adj_Monitor20_ch10,1568.4,Y160C,M,W0,R1
73,241,adj_Monitor1_ch29,1567.8,Y160C,F,W0,R3
74,273,adj_Monitor20_ch30,1565.8,Y160C,M,W0,R1
75,512,adj_Monitor30_ch23,1564.6,Y160C,F,W0,R1
76,906,adj_Monitor50_ch13,1564.4,W422X,F,W0,R3
77,780,adj_Monitor41_ch14,1562.2,Y160C,M,W0,R4
78,672,adj_Monitor35_ch3,1558,KO,M,W0,R3
79,728,adj_Monitor39_ch25,1557,W422X,M,W0,R2
80,135,adj_Monitor16_ch17,1557,WG2,F,W0,R4
81,678,adj_Monitor35_ch7,1556.4,KO,M,W0,R3
82,738,adj_Monitor39_ch5,1552.2,W422X,M,W0,R2
83,382,adj_Monitor26_ch15,1549,WG2,F,W0,R3
84,721,adj_Monitor39_ch19,1545.4,W422X,M,W0,R2
85,720,adj_Monitor39_ch18,1545.2,W422X,M,W0,R2
86,48,adj_Monitor11_ch25,1540.8,W422X,F,W0,R4
87,744,adj_Monitor3_ch10,1540.4,W422X,M,W0,R3
88,724,adj_Monitor39_ch21,1535.8,W422X,M,W0,R2
89,904,adj_Monitor50_ch11,1535.8,W422X,F,W0,R3
90,816,adj_Monitor42_ch18,1534,W422X,F,W0,R2
91,153,adj_Monitor16_ch4,1530,WG2,F,W0,R4
92,302,adj_Monitor21_ch28,1528,WG2,M,W0,R3
93,852,adj_Monitor45_ch21,1523.4,KO,F,W0,R3
94,736,adj_Monitor39_ch32,1522.8,W422X,M,W0,R2
95,920,adj_Monitor50_ch26,1522.4,W422X,F,W0,R3
96,229,adj_Monitor1_ch18,1521.2,Y160C,F,W0,R3
