,X,Channel,Light_status,mean_sleep_per_ind,Genotype,Sex,Age,Rep
1,1013,adj_Monitor15_ch2,Night,0.737208009,Y160C,F,W0,R2
2,1014,adj_Monitor34_ch10,Night,0.790600667,KO,M,W0,R1
3,1015,adj_Monitor24_ch5,Night,0.881813126,WG2,F,W0,R1
4,1016,adj_Monitor30_ch27,Night,0.699944383,Y160C,F,W0,R1
5,1017,adj_Monitor11_ch21,Night,0.730812013,W422X,F,W0,R4
6,1018,adj_Monitor27_ch19,Night,0.830088988,WG2,M,W0,R4
7,1019,adj_Monitor41_ch17,Night,0.784760845,Y160C,M,W0,R4
8,1020,adj_Monitor14_ch7,Night,0.813125695,W422X,F,W0,R1
9,1021,adj_Monitor26_ch11,Night,0.846496107,WG2,F,W0,R3
10,1022,adj_Monitor11_ch27,Night,0.885428254,W422X,F,W0,R4
11,1023,adj_Monitor38_ch17,Night,0.820355951,KO,M,W0,R4
12,1024,adj_Monitor26_ch21,Night,0.819243604,WG2,F,W0,R3
13,1025,adj_Monitor22_ch25,Night,0.781979978,KO,F,W0,R1
14,1026,adj_Monitor33_ch21,Night,0.862068966,Y160C,M,W0,R3
15,1027,adj_Monitor34_ch24,Night,0.593437152,KO,M,W0,R1
16,1028,adj_Monitor5_ch5,Night,0.807842047,WG2,F,W0,R2
17,1029,adj_Monitor14_ch12,Night,0.837319244,W422X,F,W0,R1
18,1030,adj_Monitor22_ch1,Night,0.81785317,KO,F,W0,R1
19,1031,adj_Monitor20_ch28,Night,0.861512792,Y160C,M,W0,R1
20,1032,adj_Monitor15_ch24,Night,0.831479422,Y160C,F,W0,R2
21,1033,adj_Monitor27_ch27,Night,0.795884316,WG2,M,W0,R4
22,1034,adj_Monitor28_ch18,Night,0.793103448,W422X,M,W0,R1
23,1035,adj_Monitor35_ch30,Night,0.803392659,KO,M,W0,R3
24,1036,adj_Monitor41_ch26,Night,0.884315907,Y160C,M,W0,R4
25,1037,adj_Monitor49_ch29,Night,0.882925473,Y160C,M,W0,R2
26,1038,adj_Monitor49_ch10,Night,0.888209121,Y160C,M,W0,R2
27,1039,adj_Monitor35_ch22,Night,0.842880979,KO,M,W0,R3
28,1040,adj_Monitor35_ch12,Night,0.854004449,KO,M,W0,R3
29,1041,adj_Monitor31_ch20,Night,0.859010011,W422X,M,W0,R4
30,1042,adj_Monitor20_ch5,Night,0.889043382,Y160C,M,W0,R1
31,1043,adj_Monitor1_ch17,Night,0.803392659,Y160C,F,W0,R3
32,1044,adj_Monitor14_ch17,Night,0.845105673,W422X,F,W0,R1
33,1045,adj_Monitor27_ch31,Night,0.80756396,WG2,M,W0,R4
34,1046,adj_Monitor6_ch23,Night,0.754449388,KO,F,W0,R4
35,1047,adj_Monitor35_ch11,Night,0.827030033,KO,M,W0,R3
36,1048,adj_Monitor39_ch19,Night,0.705506118,W422X,M,W0,R2
37,1050,adj_Monitor41_ch11,Night,0.811735261,Y160C,M,W0,R4
38,1051,adj_Monitor49_ch26,Night,0.855116796,Y160C,M,W0,R2
39,1052,adj_Monitor28_ch3,Night,0.803670745,W422X,M,W0,R1
40,1053,adj_Monitor3_ch1,Night,0.88403782,W422X,M,W0,R3
41,1054,adj_Monitor30_ch17,Night,0.756952169,Y160C,F,W0,R1
42,1055,adj_Monitor10_ch14,Night,0.774471635,Y160C,F,W0,R4
43,1056,adj_Monitor3_ch2,Night,0.857063404,W422X,M,W0,R3
44,1057,adj_Monitor45_ch32,Night,0.747219132,KO,F,W0,R3
45,1058,adj_Monitor10_ch32,Night,0.699944383,Y160C,F,W0,R4
46,1059,adj_Monitor16_ch11,Night,0.837041157,WG2,F,W0,R4
47,1060,adj_Monitor28_ch6,Night,0.863181313,W422X,M,W0,R1
48,1061,adj_Monitor11_ch11,Night,0.80756396,W422X,F,W0,R4
49,1062,adj_Monitor50_ch12,Night,0.835372636,W422X,F,W0,R3
50,1063,adj_Monitor33_ch25,Night,0.880422692,Y160C,M,W0,R3
51,1064,adj_Monitor33_ch20,Night,0.815906563,Y160C,M,W0,R3
52,1065,adj_Monitor27_ch4,Night,0.830088988,WG2,M,W0,R4
53,1066,adj_Monitor50_ch13,Night,0.747775306,W422X,F,W0,R3
54,1067,adj_Monitor11_ch8,Night,0.832313682,W422X,F,W0,R4
55,1068,adj_Monitor41_ch5,Night,0.765850945,Y160C,M,W0,R4
56,1069,adj_Monitor38_ch19,Night,0.781979978,KO,M,W0,R4
57,1070,adj_Monitor41_ch27,Night,0.863459399,Y160C,M,W0,R4
58,1071,adj_Monitor33_ch8,Night,0.852892102,Y160C,M,W0,R3
59,1072,adj_Monitor14_ch18,Night,0.812291435,W422X,F,W0,R1
60,1073,adj_Monitor22_ch9,Night,0.72246941,KO,F,W0,R1
61,1074,adj_Monitor14_ch20,Night,0.874026696,W422X,F,W0,R1
62,1075,adj_Monitor6_ch28,Night,0.830645161,KO,F,W0,R4
63,1076,adj_Monitor32_ch5,Night,0.870689655,WG2,M,W0,R1
64,1077,adj_Monitor34_ch3,Night,0.788375973,KO,M,W0,R1
65,1078,adj_Monitor1_ch31,Night,0.809510567,Y160C,F,W0,R3
66,1079,adj_Monitor41_ch22,Night,0.831201335,Y160C,M,W0,R4
67,1080,adj_Monitor19_ch32,Night,0.790044494,KO,M,W0,R2
68,1081,adj_Monitor41_ch28,Night,0.852614016,Y160C,M,W0,R4
69,1082,adj_Monitor38_ch5,Night,0.779477197,KO,M,W0,R4
70,1083,adj_Monitor24_ch23,Night,0.786429366,WG2,F,W0,R1
71,1084,adj_Monitor11_ch22,Night,0.772246941,W422X,F,W0,R4
72,1085,adj_Monitor32_ch26,Night,0.847608454,WG2,M,W0,R1
73,1086,adj_Monitor19_ch2,Night,0.811735261,KO,M,W0,R2
74,1087,adj_Monitor27_ch22,Night,0.769466073,WG2,M,W0,R4
75,1088,adj_Monitor30_ch15,Night,0.773359288,Y160C,F,W0,R1
76,1089,adj_Monitor35_ch6,Night,0.802836485,KO,M,W0,R3
77,1090,adj_Monitor38_ch4,Night,0.716907675,KO,M,W0,R4
78,1091,adj_Monitor26_ch26,Night,0.879310345,WG2,F,W0,R3
79,1092,adj_Monitor20_ch6,Night,0.838153504,Y160C,M,W0,R1
80,1093,adj_Monitor41_ch4,Night,0.83676307,Y160C,M,W0,R4
81,1094,adj_Monitor22_ch32,Night,0.789766407,KO,F,W0,R1
82,1096,adj_Monitor21_ch14,Night,0.899610679,WG2,M,W0,R3
83,1097,adj_Monitor24_ch32,Night,0.762235818,WG2,F,W0,R1
84,1098,adj_Monitor38_ch29,Night,0.800055617,KO,M,W0,R4
85,1099,adj_Monitor16_ch19,Night,0.757230256,WG2,F,W0,R4
86,1100,adj_Monitor19_ch4,Night,0.81868743,KO,M,W0,R2
87,1101,adj_Monitor31_ch5,Night,0.805339266,W422X,M,W0,R4
88,1102,adj_Monitor31_ch13,Night,0.862068966,W422X,M,W0,R4
89,1103,adj_Monitor24_ch4,Night,0.777808676,WG2,F,W0,R1
90,1104,adj_Monitor6_ch11,Night,0.670467186,KO,F,W0,R4
91,1105,adj_Monitor49_ch22,Night,0.835650723,Y160C,M,W0,R2
92,1106,adj_Monitor30_ch20,Night,0.801724138,Y160C,F,W0,R1
93,1107,adj_Monitor33_ch24,Night,0.823136819,Y160C,M,W0,R3
94,1108,adj_Monitor39_ch8,Night,0.733870968,W422X,M,W0,R2
95,1109,adj_Monitor20_ch8,Night,0.811179088,Y160C,M,W0,R1
96,1110,adj_Monitor38_ch2,Night,0.779477197,KO,M,W0,R4
97,1111,adj_Monitor39_ch6,Night,0.866240267,W422X,M,W0,R2
98,1112,adj_Monitor26_ch12,Night,0.910456062,WG2,F,W0,R3
99,1113,adj_Monitor32_ch29,Night,0.825083426,WG2,M,W0,R1
100,1114,adj_Monitor5_ch29,Night,0.881535039,WG2,F,W0,R2
101,1115,adj_Monitor1_ch1,Night,0.842324805,Y160C,F,W0,R3
102,1116,adj_Monitor2_ch2,Night,0.821190211,WG2,M,W0,R2
103,1117,adj_Monitor28_ch22,Night,0.763626251,W422X,M,W0,R1
104,1118,adj_Monitor3_ch11,Night,0.861234705,W422X,M,W0,R3
105,1119,adj_Monitor26_ch28,Night,0.842324805,WG2,F,W0,R3
106,1120,adj_Monitor33_ch12,Night,0.850945495,Y160C,M,W0,R3
107,1121,adj_Monitor22_ch6,Night,0.842046719,KO,F,W0,R1
108,1122,adj_Monitor3_ch20,Night,0.763904338,W422X,M,W0,R3
109,1123,adj_Monitor30_ch21,Night,0.676863181,Y160C,F,W0,R1
110,1124,adj_Monitor20_ch9,Night,0.802558398,Y160C,M,W0,R1
111,1125,adj_Monitor39_ch4,Night,0.855116796,W422X,M,W0,R2
112,1126,adj_Monitor34_ch31,Night,0.774471635,KO,M,W0,R1
113,1127,adj_Monitor10_ch21,Night,0.710233593,Y160C,F,W0,R4
114,1128,adj_Monitor22_ch11,Night,0.809510567,KO,F,W0,R1
115,1129,adj_Monitor19_ch19,Night,0.746662959,KO,M,W0,R2
116,1130,adj_Monitor28_ch10,Night,0.812569522,W422X,M,W0,R1
117,1131,adj_Monitor35_ch18,Night,0.868464961,KO,M,W0,R3
118,1132,adj_Monitor34_ch11,Night,0.805339266,KO,M,W0,R1
119,1133,adj_Monitor34_ch30,Night,0.822858732,KO,M,W0,R1
120,1134,adj_Monitor16_ch24,Night,0.852892102,WG2,F,W0,R4
121,1135,adj_Monitor2_ch8,Night,0.823136819,WG2,M,W0,R2
122,1136,adj_Monitor39_ch18,Night,0.837319244,W422X,M,W0,R2
123,1137,adj_Monitor16_ch9,Night,0.880700779,WG2,F,W0,R4
124,1138,adj_Monitor35_ch19,Night,0.810066741,KO,M,W0,R3
125,1139,adj_Monitor34_ch22,Night,0.832035595,KO,M,W0,R1
126,1140,adj_Monitor41_ch9,Night,0.809510567,Y160C,M,W0,R4
127,1141,adj_Monitor22_ch24,Night,0.882091212,KO,F,W0,R1
128,1142,adj_Monitor5_ch31,Night,0.87625139,WG2,F,W0,R2
129,1143,adj_Monitor15_ch11,Night,0.786985539,Y160C,F,W0,R2
130,1144,adj_Monitor2_ch1,Night,0.897385984,WG2,M,W0,R2
131,1145,adj_Monitor24_ch8,Night,0.745828699,WG2,F,W0,R1
132,1146,adj_Monitor16_ch7,Night,0.788097887,WG2,F,W0,R4
133,1147,adj_Monitor34_ch19,Night,0.744994438,KO,M,W0,R1
134,1148,adj_Monitor2_ch30,Night,0.86596218,WG2,M,W0,R2
135,1149,adj_Monitor20_ch17,Night,0.882091212,Y160C,M,W0,R1
136,1150,adj_Monitor26_ch29,Night,0.704115684,WG2,F,W0,R3
137,1151,adj_Monitor31_ch1,Night,0.746106785,W422X,M,W0,R4
138,1152,adj_Monitor34_ch16,Night,0.729143493,KO,M,W0,R1
139,1153,adj_Monitor1_ch15,Night,0.706618465,Y160C,F,W0,R3
140,1154,adj_Monitor41_ch23,Night,0.820912125,Y160C,M,W0,R4
141,1155,adj_Monitor11_ch15,Night,0.877085651,W422X,F,W0,R4
142,1156,adj_Monitor27_ch26,Night,0.830088988,WG2,M,W0,R4
143,1157,adj_Monitor41_ch6,Night,0.87374861,Y160C,M,W0,R4
144,1158,adj_Monitor33_ch2,Night,0.784482759,Y160C,M,W0,R3
145,1159,adj_Monitor28_ch19,Night,0.827864294,W422X,M,W0,R1
146,1160,adj_Monitor15_ch10,Night,0.843159066,Y160C,F,W0,R2
147,1161,adj_Monitor27_ch1,Night,0.761957731,WG2,M,W0,R4
148,1162,adj_Monitor21_ch19,Night,0.872358176,WG2,M,W0,R3
149,1163,adj_Monitor3_ch10,Night,0.753058954,W422X,M,W0,R3
150,1164,adj_Monitor27_ch29,Night,0.865406007,WG2,M,W0,R4
151,1165,adj_Monitor24_ch10,Night,0.803670745,WG2,F,W0,R1
152,1166,adj_Monitor15_ch21,Night,0.863459399,Y160C,F,W0,R2
153,1167,adj_Monitor22_ch2,Night,0.646829811,KO,F,W0,R1
154,1168,adj_Monitor20_ch1,Night,0.872914349,Y160C,M,W0,R1
155,1169,adj_Monitor32_ch19,Night,0.833147942,WG2,M,W0,R1
156,1170,adj_Monitor15_ch20,Night,0.810622914,Y160C,F,W0,R2
157,1171,adj_Monitor39_ch9,Night,0.806173526,W422X,M,W0,R2
158,1172,adj_Monitor22_ch28,Night,0.685205784,KO,F,W0,R1
159,1173,adj_Monitor10_ch7,Night,0.651279199,Y160C,F,W0,R4
160,1174,adj_Monitor11_ch2,Night,0.727196885,W422X,F,W0,R4
161,1175,adj_Monitor18_ch15,Night,0.859288098,KO,F,W0,R2
162,1176,adj_Monitor22_ch17,Night,0.786429366,KO,F,W0,R1
163,1177,adj_Monitor27_ch15,Night,0.785038932,WG2,M,W0,R4
164,1178,adj_Monitor26_ch8,Night,0.849833148,WG2,F,W0,R3
165,1179,adj_Monitor31_ch30,Night,0.71996663,W422X,M,W0,R4
166,1180,adj_Monitor16_ch3,Night,0.833982202,WG2,F,W0,R4
167,1181,adj_Monitor6_ch10,Night,0.81785317,KO,F,W0,R4
168,1182,adj_Monitor27_ch21,Night,0.741657397,WG2,M,W0,R4
169,1183,adj_Monitor22_ch4,Night,0.866518354,KO,F,W0,R1
170,1184,adj_Monitor14_ch9,Night,0.848720801,W422X,F,W0,R1
171,1185,adj_Monitor21_ch6,Night,0.854560623,WG2,M,W0,R3
172,1186,adj_Monitor21_ch21,Night,0.852335929,WG2,M,W0,R3
173,1187,adj_Monitor6_ch24,Night,0.850389321,KO,F,W0,R4
174,1188,adj_Monitor16_ch1,Night,0.86679644,WG2,F,W0,R4
175,1189,adj_Monitor1_ch14,Night,0.752780868,Y160C,F,W0,R3
176,1190,adj_Monitor31_ch17,Night,0.820355951,W422X,M,W0,R4
177,1191,adj_Monitor14_ch10,Night,0.795884316,W422X,F,W0,R1
178,1192,adj_Monitor22_ch8,Night,0.81868743,KO,F,W0,R1
179,1193,adj_Monitor26_ch7,Night,0.811735261,WG2,F,W0,R3
180,1194,adj_Monitor3_ch9,Night,0.7121802,W422X,M,W0,R3
181,1195,adj_Monitor2_ch23,Night,0.848720801,WG2,M,W0,R2
182,1196,adj_Monitor32_ch11,Night,0.875139043,WG2,M,W0,R1
183,1197,adj_Monitor11_ch29,Night,0.788375973,W422X,F,W0,R4
184,1198,adj_Monitor42_ch29,Night,0.794771969,W422X,F,W0,R2
185,1199,adj_Monitor50_ch8,Night,0.698832036,W422X,F,W0,R3
186,1200,adj_Monitor39_ch2,Night,0.764460512,W422X,M,W0,R2
187,1201,adj_Monitor50_ch30,Night,0.848164627,W422X,F,W0,R3
188,1203,adj_Monitor28_ch28,Night,0.592324805,W422X,M,W0,R1
189,1204,adj_Monitor22_ch5,Night,0.811735261,KO,F,W0,R1
190,1205,adj_Monitor24_ch18,Night,0.751668521,WG2,F,W0,R1
191,1206,adj_Monitor34_ch27,Night,0.861234705,KO,M,W0,R1
192,1207,adj_Monitor22_ch19,Night,0.870967742,KO,F,W0,R1
193,1208,adj_Monitor10_ch15,Night,0.855951057,Y160C,F,W0,R4
194,1209,adj_Monitor16_ch17,Night,0.789766407,WG2,F,W0,R4
195,1210,adj_Monitor15_ch9,Night,0.678531702,Y160C,F,W0,R2
196,1211,adj_Monitor1_ch7,Night,0.767797553,Y160C,F,W0,R3
197,1212,adj_Monitor32_ch20,Night,0.833982202,WG2,M,W0,R1
198,1213,adj_Monitor38_ch28,Night,0.737208009,KO,M,W0,R4
199,1214,adj_Monitor10_ch31,Night,0.795606229,Y160C,F,W0,R4
200,1215,adj_Monitor5_ch8,Night,0.638487208,WG2,F,W0,R2
201,1216,adj_Monitor39_ch30,Night,0.862347052,W422X,M,W0,R2
202,1217,adj_Monitor33_ch17,Night,0.872636263,Y160C,M,W0,R3
203,1218,adj_Monitor32_ch12,Night,0.905172414,WG2,M,W0,R1
204,1219,adj_Monitor14_ch14,Night,0.830645161,W422X,F,W0,R1
205,1220,adj_Monitor33_ch23,Night,0.823136819,Y160C,M,W0,R3
206,1221,adj_Monitor22_ch20,Night,0.770022247,KO,F,W0,R1
207,1222,adj_Monitor10_ch22,Night,0.785317019,Y160C,F,W0,R4
208,1223,adj_Monitor32_ch17,Night,0.870411568,WG2,M,W0,R1
209,1224,adj_Monitor31_ch16,Night,0.822858732,W422X,M,W0,R4
210,1225,adj_Monitor19_ch5,Night,0.818409344,KO,M,W0,R2
211,1226,adj_Monitor42_ch30,Night,0.813403782,W422X,F,W0,R2
212,1227,adj_Monitor26_ch14,Night,0.87374861,WG2,F,W0,R3
213,1228,adj_Monitor2_ch20,Night,0.90461624,WG2,M,W0,R2
214,1229,adj_Monitor6_ch22,Night,0.718576196,KO,F,W0,R4
215,1230,adj_Monitor32_ch21,Night,0.734149055,WG2,M,W0,R1
216,1231,adj_Monitor38_ch9,Night,0.56785317,KO,M,W0,R4
217,1232,adj_Monitor6_ch18,Night,0.738876529,KO,F,W0,R4
218,1233,adj_Monitor32_ch3,Night,0.801724138,WG2,M,W0,R1
219,1234,adj_Monitor16_ch2,Night,0.684371524,WG2,F,W0,R4
220,1235,adj_Monitor34_ch8,Night,0.687986652,KO,M,W0,R1
221,1236,adj_Monitor19_ch20,Night,0.795606229,KO,M,W0,R2
222,1237,adj_Monitor22_ch12,Night,0.805061179,KO,F,W0,R1
223,1238,adj_Monitor41_ch32,Night,0.860122358,Y160C,M,W0,R4
224,1239,adj_Monitor16_ch8,Night,0.704949944,WG2,F,W0,R4
225,1240,adj_Monitor11_ch30,Night,0.774749722,W422X,F,W0,R4
226,1241,adj_Monitor50_ch21,Night,0.85483871,W422X,F,W0,R3
227,1242,adj_Monitor16_ch20,Night,0.798665184,WG2,F,W0,R4
228,1243,adj_Monitor16_ch6,Night,0.749721913,WG2,F,W0,R4
229,1244,adj_Monitor10_ch29,Night,0.749721913,Y160C,F,W0,R4
