"","Genotype","Sex","Age","Adj_mean","Adj_SE"
"1","KO","F","W0",0.709804419608839,0.351182149503553
"2","W422X","F","W0",-0.465675403225807,0.351600779808616
"3","WG2","F","W0",0,0.337830212116443
"4","Y160C","F","W0",1.85638709677419,0.331687153873653
"5","KO","M","W0",1.49374871899979,0.326269948627684
"6","W422X","M","W0",0.365775609756097,0.299708704560214
"7","WG2","M","W0",0,0.337905340368114
"8","Y160C","M","W0",0.882575609756097,0.322010501494955
"9","KO","F","W3",1.73585210084034,0.521214403235843
"10","W422X","F","W3",-1.31895424836601,0.497187009261868
"11","WG2","F","W3",0,0.542085930478672
"12","Y160C","F","W3",1.47093006694203,0.555158385076992
"13","KO","M","W3",3.19932669789227,0.379414762604453
"14","W422X","M","W3",0.556785714285715,0.360992817984881
"15","WG2","M","W3",0,0.369000624939991
"16","Y160C","M","W3",0.349221611721612,0.373104888830342
