"","Genotype","Sex","Age","Adj_mean","Adj_SE"
"1","KO","F","W0",10.3564008128017,28.5550770405195
"2","W422X","F","W0",93.3522177419356,34.1311734206643
"3","WG2","F","W0",0,30.628656100872
"4","Y160C","F","W0",99.7521677419356,36.1304874220914
"5","KO","M","W0",106.708587825374,33.8327530275863
"6","W422X","M","W0",137.648312195122,35.9050411906845
"7","WG2","M","W0",0,30.6093715329011
"8","Y160C","M","W0",28.5651121951221,32.8920602134134
"9","KO","F","W3",350.678332773109,52.8032463178108
"10","W422X","F","W3",429.511297852474,54.3268698725236
"11","WG2","F","W3",0,51.0501113018416
"12","Y160C","F","W3",318.967525993448,68.1775570820238
"13","KO","M","W3",81.5018442622951,45.1113187666613
"14","W422X","M","W3",105.445833333333,45.50815807463
"15","WG2","M","W3",0,43.6719212501453
"16","Y160C","M","W3",196.835149572649,47.9353407253154
